,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,chg,close_price,history_volatility,id,last_close_price,listing_day,month1_volatility,month3_volatility,month6_volatility,nmc,share_code,share_market,share_name,share_pinyin,share_symbol,trade_day,updated_at,week_volatility,year_volatility,res,std_result,pay_amount_rate,c_sigma,c_S,c_K,c_r,c_T
0,0,0,0.0,0.0,0.0,0.0,-0.0428,28.19,0.0,1333.0,0.0,1991-01-29 00:00:00,37.72,48.16,49.17,2737.0,2.0,sz,万科A,wka,sz000002,2017-11-05 00:00:00,2017-11-05 15:25:36,60.02,0.0,2.1448,0.0,0.0,60.02,28.19,28.19,3.73,2.0
1,1,1,1.0,1.0,1.0,1.0,-0.0186,23.16,0.0,1334.0,0.0,1991-01-14 00:00:00,30.29,29.85,43.88,19.0,4.0,sz,国农科技,gnkj,sz000004,2017-11-05 00:00:00,2017-11-05 15:25:37,14.45,0.0,1.7898,0.0,0.0,43.88,23.16,23.16,3.73,2.0
2,2,2,2.0,2.0,2.0,2.0,-0.0151,4.55,0.0,1335.0,0.0,1990-12-10 00:00:00,27.59,32.98,34.51,43.0,5.0,sz,世纪星源,sjxy,sz000005,2017-11-05 00:00:00,2017-11-05 15:25:37,19.63,0.0,0.2605,0.0,0.0,34.51,4.55,4.55,3.73,2.0
3,3,3,3.0,3.0,3.0,3.0,0.0546,9.85,50.07,1336.0,0.0,1992-04-27 00:00:00,35.33,31.57,50.07,0.0,6.0,sz,深振业A,szya,sz000006,2017-09-10 00:00:00,2017-11-05 15:25:37,29.08,0.0,0.8153,0.0,0.0,50.07,9.85,9.85,3.73,2.0
4,4,4,4.0,4.0,4.0,4.0,0.0036,16.66,0.0,1337.0,0.0,1992-04-13 00:00:00,34.88,48.57,43.55,51.0,7.0,sz,全新好,qxh,sz000007,2017-10-08 00:00:00,2017-11-05 15:25:37,50.84,0.0,1.1441,0.0,0.0,50.84,16.66,16.66,3.73,2.0
5,5,5,5.0,5.0,5.0,5.0,0.0076,9.24,0.0,1338.0,0.0,1992-05-07 00:00:00,37.03,34.56,30.94,183.0,8.0,sz,神州高铁,szgt,sz000008,2017-11-05 00:00:00,2017-11-05 15:25:37,13.75,0.0,0.4927,0.0,0.0,37.03,9.24,9.24,3.73,2.0
6,6,6,6.0,6.0,6.0,6.0,-0.0239,7.77,0.0,1339.0,0.0,1991-06-25 00:00:00,30.42,42.45,41.8,164.0,9.0,sz,中国宝安,zgba,sz000009,2017-11-05 00:00:00,2017-11-05 15:25:37,31.83,0.0,0.4735,0.0,0.0,42.45,7.77,7.77,3.73,2.0
7,7,7,7.0,7.0,7.0,7.0,0.004,12.58,0.0,3372.0,0.0,1999-11-10 00:00:00,12.83,16.28,24.54,3535.0,600000.0,sh,浦发银行,pfyh,sh600000,2017-11-05 00:00:00,2017-11-05 15:25:56,10.61,0.0,0.4752,0.0,0.0,24.54,12.58,12.58,3.73,2.0
8,8,8,8.0,8.0,8.0,8.0,-0.013,11.39,0.0,3386.0,0.0,1991-04-03 00:00:00,29.0,33.47,30.31,1926.0,1.0,sz,平安银行,payh,sz000001,2017-11-05 00:00:00,2017-11-05 15:25:57,18.14,0.0,0.5504,0.0,0.0,33.47,11.39,11.39,3.73,2.0
9,9,9,9.0,9.0,9.0,9.0,0.0172,5.91,0.0,1340.0,0.0,1995-10-27 00:00:00,86.85,53.43,50.95,30.0,10.0,sz,美丽生态,mlst,sz000010,2017-11-05 00:00:00,2017-11-05 15:25:37,48.22,0.0,0.7281,0.0,0.0,86.85,5.91,5.91,3.73,2.0
10,10,10,10.0,10.0,10.0,10.0,-0.01,18.91,0.0,1341.0,0.0,1992-03-30 00:00:00,36.67,42.18,50.93,33.0,11.0,sz,深物业A,swy,sz000011,2017-11-05 00:00:00,2017-11-05 15:25:37,44.63,0.0,1.4692,0.0,0.0,50.93,18.91,18.91,3.73,2.0
11,11,11,11.0,11.0,11.0,11.0,-0.0071,8.4,0.0,1342.0,0.0,1992-02-28 00:00:00,24.4,22.31,31.22,126.0,12.0,sz,南玻A,nba,sz000012,2017-11-05 00:00:00,2017-11-05 15:25:37,33.38,0.0,0.4049,0.0,0.0,33.38,8.4,8.4,3.73,2.0
12,12,12,12.0,12.0,12.0,12.0,-0.0043,16.16,0.0,1343.0,0.0,1992-06-02 00:00:00,19.79,24.44,23.96,32.0,14.0,sz,沙河股份,shgf,sz000014,2017-11-05 00:00:00,2017-11-05 15:25:37,28.51,0.0,0.8021,0.0,0.0,28.51,16.16,16.16,3.73,2.0
13,13,13,13.0,13.0,13.0,13.0,0.0118,5.99,0.0,1344.0,0.0,1992-03-27 00:00:00,37.09,42.16,41.22,95.0,16.0,sz,深康佳A,skja,sz000016,2017-11-05 00:00:00,2017-11-05 15:25:37,27.86,0.0,0.3626,0.0,0.0,42.16,5.99,5.99,3.73,2.0
14,14,14,14.0,14.0,14.0,14.0,0.0028,7.18,0.0,1345.0,0.0,1992-03-31 00:00:00,35.63,24.07,40.3,21.0,17.0,sz,深中华A,szh,sz000017,2017-11-05 00:00:00,2017-11-05 15:25:37,29.61,0.0,0.5106,0.0,0.0,40.3,7.18,7.18,3.73,2.0
15,15,15,15.0,15.0,15.0,15.0,-0.0083,7.2,0.0,1346.0,0.0,1992-06-16 00:00:00,27.48,42.66,50.37,54.0,18.0,sz,神州长城,szcc,sz000018,2017-11-05 00:00:00,2017-11-05 15:25:37,26.71,0.0,0.49,0.0,0.0,50.37,7.2,7.2,3.73,2.0
